"Sta.Cruz de Tenerife"

"Mes","T","TM","Tm","R","H","DR","DN","DT","DF","DH","DD","I",
"Enero","18.2","21.0","15.4","32","64","4.2","0.0","0.3","0.0","0.0","3.4","178",
"Febrero","18.3","21.2","15.3","35","65","3.8","0.0","0.4","0.1","0.0","4.7","186",
"Marzo","19.0","22.1","15.9","38","62","3.8","0.0","0.2","0.0","0.0","5.3","221",
"Abril","19.7","22.7","16.5","12","61","2.4","0.0","0.1","0.0","0.0","4.3","237",
"Mayo","21.0","24.1","17.8","4","61","0.9","0.0","0.0","0.0","0.0","5.7","282",
"Junio","22.9","26.2","19.5","1","61","0.2","0.0","0.0","0.0","0.0","12.0","306",
"Julio","25.0","28.7","21.2","0","58","0.0","0.0","0.0","0.0","0.0","19.8","337",
"Agosto","25.5","29.0","21.9","2","60","0.3","0.0","0.0","0.0","0.0","17.8","319",
"Septiembre","24.9","28.1","21.7","7","64","0.9","0.0","0.2","0.0","0.0","7.8","253",
"Octubre","23.4","26.3","20.3","19","66","3.1","0.0","0.1","0.0","0.0","4.5","222",
"Noviembre","21.3","24.1","18.4","34","65","4.7","0.0","0.3","0.1","0.0","3.1","178",
"Diciembre","19.4","22.1","16.6","43","66","5.4","0.0","0.5","0.0","0.0","3.0","168",
"Año","21.5","24.6","18.4","226","63","29.7","0.0","2.2","0.3","0.0","92.0","2913",
